responseId,agentId,sessionId,timestamp,request,response,StartDate,EndDate,surveyId,Status,IPAddress,Progress,Durationinseconds,Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q12,Q34_FirstClick,Q34_LastClick,Q34_PageSubmit,Q34_ClickCount,Q43,Q44,Q45_FirstClick,Q45_LastClick,Q45_PageSubmit,Q45_ClickCount,Q52_FirstClick,Q52_LastClick,Q52_PageSubmit,Q52_ClickCount,Q62_FirstClick,Q62_LastClick,Q62_PageSubmit,Q62_ClickCount,Q73_FirstClick,Q73_LastClick,Q73_PageSubmit,Q73_ClickCount,Q81,Q82,Q83,Q84,Q85,Q86,_merge
2fb2d572-9268-4260-b7b2-dcdf1ac9867f,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_0kMun3ED5VRBeTL,Fri Jun 24 2022 20:09:56 GMT+0000 (Coordinated Universal Time),Hello,"Hello, I was hoping to take another look at the Jim Brine piece. Could you tell me a bit more about it?",  6/24/2022 4:03,  6/24/2022 4:16,1,0,24.71.126.82,100,780,1,  6/24/2022 4:16,,,,,50.0528,-119.2858,anonymous,EN,1,5ecf1fb0eed497344398139d,0,0,23.244,0,2,1,42.276,63.84,64.654,4,,,,,,,,,9.260999999999999,141.882,143.319,6,2,4,7,2,"I think the counterpart have the knowledge about the ""Hearts"" painting series.",I haven't finished the negotiation. The session ended or the counterpart stopped speaking.,matched (3)
e8fa5a20-8a1b-481c-8794-037bc3fd5703,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_0kMun3ED5VRBeTL,Fri Jun 24 2022 20:11:12 GMT+0000 (Coordinated Universal Time),yes. this a 1 of a series paintings. Do you have any painting of this series?,Oh that's interesting. Have you seen the other pieces in the Hearts series?,  6/24/2022 4:03,  6/24/2022 4:16,1,0,24.71.126.82,100,780,1,  6/24/2022 4:16,,,,,50.0528,-119.2858,anonymous,EN,1,5ecf1fb0eed497344398139d,0,0,23.244,0,2,1,42.276,63.84,64.654,4,,,,,,,,,9.260999999999999,141.882,143.319,6,2,4,7,2,"I think the counterpart have the knowledge about the ""Hearts"" painting series.",I haven't finished the negotiation. The session ended or the counterpart stopped speaking.,matched (3)
4e6a8776-06da-4fc2-be2d-857ed8ff9902,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_0kMun3ED5VRBeTL,Fri Jun 24 2022 20:11:51 GMT+0000 (Coordinated Universal Time),Yes,,  6/24/2022 4:03,  6/24/2022 4:16,1,0,24.71.126.82,100,780,1,  6/24/2022 4:16,,,,,50.0528,-119.2858,anonymous,EN,1,5ecf1fb0eed497344398139d,0,0,23.244,0,2,1,42.276,63.84,64.654,4,,,,,,,,,9.260999999999999,141.882,143.319,6,2,4,7,2,"I think the counterpart have the knowledge about the ""Hearts"" painting series.",I haven't finished the negotiation. The session ended or the counterpart stopped speaking.,matched (3)
8cbcc1ff-3126-4498-b866-5edad6baf313,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_10qSf6T4WZYlCVY,Fri Jun 24 2022 19:53:36 GMT+0000 (Coordinated Universal Time),Hello,"Hello, I was hoping to take another look at the Jim Brine piece. Could you tell me a bit more about it?",  6/24/2022 3:49,  6/24/2022 4:02,1,0,70.68.246.216,100,744,1,  6/24/2022 4:02,,,,,49.2489,-122.7954,anonymous,EN,1,5cd9e60b4b2de600150eb90f,0,0,29.314,0,2,1,24.21,57.643,59.156,2,,,,,,,,,0,0,471.534,0,2,1,1,2,They didn't offer up very much information and countered with an offer lower than their initial offer,,matched (3)
7c8b2275-3734-418b-b92a-ef901fe22b61,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_10qSf6T4WZYlCVY,Fri Jun 24 2022 19:54:59 GMT+0000 (Coordinated Universal Time),Absolutely! This piece is called Hearts in the Spring. Are you a Jim Brine collector?,I've seen a few of his other pieces. he's a fantastic artist,  6/24/2022 3:49,  6/24/2022 4:02,1,0,70.68.246.216,100,744,1,  6/24/2022 4:02,,,,,49.2489,-122.7954,anonymous,EN,1,5cd9e60b4b2de600150eb90f,0,0,29.314,0,2,1,24.21,57.643,59.156,2,,,,,,,,,0,0,471.534,0,2,1,1,2,They didn't offer up very much information and countered with an offer lower than their initial offer,,matched (3)
7b9a36d5-0710-43fd-8e1f-600246e5f841,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_10qSf6T4WZYlCVY,Fri Jun 24 2022 19:56:12 GMT+0000 (Coordinated Universal Time),Agreed. This piece is a part of a collection with 3 other pieces,Oh that's interesting. Have you seen the other pieces in the Hearts series?,  6/24/2022 3:49,  6/24/2022 4:02,1,0,70.68.246.216,100,744,1,  6/24/2022 4:02,,,,,49.2489,-122.7954,anonymous,EN,1,5cd9e60b4b2de600150eb90f,0,0,29.314,0,2,1,24.21,57.643,59.156,2,,,,,,,,,0,0,471.534,0,2,1,1,2,They didn't offer up very much information and countered with an offer lower than their initial offer,,matched (3)
7b298356-04e2-4a4b-a5aa-71caf2bb05fd,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_10qSf6T4WZYlCVY,Fri Jun 24 2022 19:56:39 GMT+0000 (Coordinated Universal Time),"Yes, they're stunning! Are you familiar with them?",I've seen a few of his other pieces. he's a fantastic artist,  6/24/2022 3:49,  6/24/2022 4:02,1,0,70.68.246.216,100,744,1,  6/24/2022 4:02,,,,,49.2489,-122.7954,anonymous,EN,1,5cd9e60b4b2de600150eb90f,0,0,29.314,0,2,1,24.21,57.643,59.156,2,,,,,,,,,0,0,471.534,0,2,1,1,2,They didn't offer up very much information and countered with an offer lower than their initial offer,,matched (3)
eab783ff-8425-4bd1-aa07-41cafd4e787f,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_10qSf6T4WZYlCVY,Fri Jun 24 2022 19:57:28 GMT+0000 (Coordinated Universal Time),You mentioned that. Are you interested in Hearts of Spring?,Maybe we could discuss pricing?  What were you thinking on that?,  6/24/2022 3:49,  6/24/2022 4:02,1,0,70.68.246.216,100,744,1,  6/24/2022 4:02,,,,,49.2489,-122.7954,anonymous,EN,1,5cd9e60b4b2de600150eb90f,0,0,29.314,0,2,1,24.21,57.643,59.156,2,,,,,,,,,0,0,471.534,0,2,1,1,2,They didn't offer up very much information and countered with an offer lower than their initial offer,,matched (3)
9f2e18ba-2639-496f-ae5a-e78381552def,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_10qSf6T4WZYlCVY,Fri Jun 24 2022 19:58:20 GMT+0000 (Coordinated Universal Time),14000,That's too much. I can offer $8200?,  6/24/2022 3:49,  6/24/2022 4:02,1,0,70.68.246.216,100,744,1,  6/24/2022 4:02,,,,,49.2489,-122.7954,anonymous,EN,1,5cd9e60b4b2de600150eb90f,0,0,29.314,0,2,1,24.21,57.643,59.156,2,,,,,,,,,0,0,471.534,0,2,1,1,2,They didn't offer up very much information and countered with an offer lower than their initial offer,,matched (3)
a9c988e5-988b-4e11-bf4d-9d0c320c5043,8b87e314-ec79-4386-9b5d-9347da0a0e23,R_10qSf6T4WZYlCVY,Fri Jun 24 2022 19:59:33 GMT+0000 (Coordinated Universal Time),Unfortunately that's too low. As a collector yourself I'm sure you can appreciate the true value of a jim brine piece.,"good art eventually appreciates, I guess.",  6/24/2022 3:49,  6/24/2022 4:02,1,0,70.68.246.216,100,744,1,  6/24/2022 4:02,,,,,49.2489,-122.7954,anonymous,EN,1,5cd9e60b4b2de600150eb90f,0,0,29.314,0,2,1,24.21,57.643,59.156,2,,,,,,,,,0,0,471.534,0,2,1,1,2,They didn't offer up very much information and countered with an offer lower than their initial offer,,matched (3)
